# k is in units of fm^{-1}
# u(k) is the S-wave wave function in units of fm^{3/2}
# w(k) is the D-wave wave function in units of fm^{3/2}
# 
# Normalization:
# 
# integral[ (u(k)^2+w(k)^2) k^2 dk ] =  1
# 
#
# Original file by Bob Wiringa
# Original: https://www.phy.anl.gov/theory/research/av18/deut.wfk
# Modified 2025.09.29 by Adam Freese:
# - # before comments
# - remove some whitespace
# - some comments in header
# Use:
#   df = pd.read_csv("/path/to/av18k.csv", sep='\s+', comment='#')
# to import as a pandas dataframe
#
#
 k           u(k)           w(k)
12.45000    1.0593326367E-05   -1.8572762026E-06
12.50000    9.9715524399E-06   -1.5602928883E-06
12.55000    9.3771418422E-06   -1.2784215122E-06
12.60000    8.8092355989E-06   -1.0111291084E-06
12.65000    8.2669847599E-06   -7.5789381400E-07
12.70000    7.7495522225E-06   -5.1820472771E-07
12.75000    7.2561133715E-06   -2.9156188269E-07
12.80000    6.7858560489E-06   -7.7476429047E-08
12.85000    6.3379811433E-06    1.2452897889E-07
12.90000    5.9117039806E-06    3.1491972621E-07
12.95000    5.5062553587E-06    4.9414891822E-07
13.00000    5.1208814447E-06    6.6265734463E-07
13.05000    4.7548433016E-06    8.2087372354E-07
13.10000    4.4074173031E-06    9.6921509441E-07
13.15000    4.0778963971E-06    1.1080871974E-06
13.20000    3.7655909334E-06    1.2378847177E-06
13.25000    3.4698283134E-06    1.3589913339E-06
13.30000    3.1899522700E-06    1.4717795775E-06
13.35000    2.9253229550E-06    1.5766105946E-06
13.40000    2.6753177371E-06    1.6738339736E-06
13.45000    2.4393315504E-06    1.7637877998E-06
13.50000    2.2167762891E-06    1.8467989832E-06
13.55000    2.0070801234E-06    1.9231837651E-06
13.60000    1.8096877134E-06    1.9932482315E-06
13.65000    1.6240609585E-06    2.0572886900E-06
13.70000    1.4496790794E-06    2.1155918540E-06
13.75000    1.2860376886E-06    2.1684348452E-06
13.80000    1.1326478680E-06    2.2160850872E-06
13.85000    9.8903620823E-07    2.2588002044E-06
13.90000    8.5474540060E-07    2.2968280677E-06
13.95000    7.2933423064E-07    2.3304070726E-06
14.00000    6.1237672326E-07    2.3597666158E-06
14.05000    5.0346138973E-07    2.3851276294E-06
14.10000    4.0219131595E-07    2.4067030151E-06
14.15000    3.0818454456E-07    2.4246978979E-06
14.20000    2.2107372245E-07    2.4393097109E-06
14.25000    1.4050501184E-07    2.4507281790E-06
14.30000    6.6137328542E-08    2.4591352873E-06
14.35000   -2.3574570583E-09    2.4647053281E-06
14.40000   -6.5294044516E-08    2.4676051032E-06
14.45000   -1.2297399864E-07    2.4679942931E-06
14.50000   -1.7568677293E-07    2.4660259075E-06
14.55000   -2.2371044121E-07    2.4618466834E-06
14.60000   -2.6731161152E-07    2.4555973376E-06
14.65000   -3.0674520363E-07    2.4474126756E-06
14.70000   -3.4225494774E-07    2.4374216281E-06
14.75000   -3.7407437474E-07    2.4257472935E-06
14.80000   -4.0242730731E-07    2.4125070372E-06
14.85000   -4.2752753788E-07    2.3978126736E-06
14.90000   -4.4957853388E-07    2.3817707349E-06
14.95000   -4.6877399483E-07    2.3644827872E-06
15.00000   -4.8529891759E-07    2.3460457125E-06
